ax,ay,az,gx,gy,gz,thr,as,vz,alt,roll,pitch,label
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.1414,0.0000,-0.0580,0.0740,0.0606,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.1053,0.0000,-0.0640,0.0738,0.0606,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.0922,0.0000,-0.0640,0.0740,0.0608,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3956,0.0000,-0.0470,0.0742,0.0613,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8034,0.0000,-0.0250,0.0745,0.0616,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3756,0.0000,-0.0180,0.0745,0.0616,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3720,0.0000,-0.0210,0.0743,0.0615,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.4936,0.0000,-0.0270,0.0743,0.0616,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7217,0.0000,-0.0370,0.0747,0.0617,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7170,0.0000,-0.0520,0.0745,0.0615,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3117,0.0100,-0.0580,0.0748,0.0615,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6551,0.0100,-0.0660,0.0754,0.0618,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6895,0.0100,-0.0760,0.0759,0.0617,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8775,0.0100,-0.0870,0.0760,0.0619,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3127,0.0100,-0.0910,0.0761,0.0620,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8486,0.0100,-0.0970,0.0761,0.0619,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8594,0.0100,-0.1050,0.0763,0.0621,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.2684,0.0100,-0.1100,0.0763,0.0619,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.4774,0.0100,-0.1180,0.0762,0.0618,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.5673,0.0100,-0.1230,0.0760,0.0620,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.2810,0.0100,-0.1230,0.0763,0.0627,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6055,0.0100,-0.1230,0.0761,0.0626,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.5147,0.0100,-0.1190,0.0759,0.0625,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8803,0.0000,-0.1100,0.0760,0.0624,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8560,0.0000,-0.1040,0.0758,0.0624,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.4459,0.0000,-0.0970,0.0758,0.0623,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3351,0.0000,-0.0950,0.0762,0.0625,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.1520,0.0000,-0.0660,0.0761,0.0626,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.9899,0.0000,-0.0300,0.0763,0.0629,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.5107,0.0000,-0.0290,0.0767,0.0631,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.2816,0.0100,-0.0370,0.0766,0.0632,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.5570,0.0100,-0.0520,0.0764,0.0635,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.4755,0.0100,-0.0650,0.0764,0.0636,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8858,0.0100,-0.0740,0.0761,0.0630,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6159,0.0100,-0.0840,0.0759,0.0627,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7625,0.0100,-0.0940,0.0757,0.0625,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.4050,0.0100,-0.1050,0.0762,0.0628,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7905,0.0100,-0.1060,0.0759,0.0631,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.9735,0.0100,-0.1070,0.0758,0.0631,0
